-33, -27, 36
-9, -43, 0
-11, -8, 34
-34, -51, -231
-27, 228, -21
-6, -7, 7
17, -22, 9
-16, -36, -18
-1, -27, 17
16, -11, 17
-11, -21, 29
-16, -30, 14
-1, -32, 7
17, 243, 1
-24, -65, -19
-35, -55, 243
-4, -17, -5
-21, -36, 11
-29, -10, 12
-22, -24, 15
-3, -37, -13
-24, -17, -20
-18, -20, 248
-48, 234, -10
-11, -24, 41
-35, -2, 249
-9, -253, 40
-30, -58, 15
-20, -5, -8
-1, -73, 22
-5, -30, -2
-17, -37, 16
-25, -13, 16
-8, -42, 0
-255, -11, 16
-16, 0, -2
-9, -5, 10
-6, -42, -252
-38, -22, 31
-2, -14, 18
-17, -24, -11
-38, 3, 30
-26, -32, -34
-23, -14, 18
-5, -15, 7
-22, -9, 20
-14, -45, 25
-14, -9, 13
3, 13, 251
-45, -11, 5
-24, -37, 0
-16, 11, 20
-23, -28, 30
-43, -20, 1
-26, 241, 9
240, -22, 10
0, -31, 3
-27, -256, -11
-249, 33, -2
-41, -8, 237
-17, -10, 38
-5, -6, -16
-6, -3, 12
-4, -30, 30
4, -23, 38
253, 7, 8
4, -19, 4
1, -14, 5
-15, -11, 26
-6, -6, 9
-12, -40, 19
-11, -36, 22
-37, -22, 27
-16, -23, 3
9, 242, 6
231, 9, -16
7, -18, 5
-3, -24, 25
-29, -26, 7
-6, -17, 8
-27, 10, -23
-46, -24, 12
-52, -51, 28
-27, -37, 16
-21, -13, -6
-27, 1, 29
-27, -25, 7
-20, -12, 3
-43, -29, -16
-31, -10, -256
-29, -17, 14
212, 22, 0
-33, 30, -12
3, -48, 41
9, -227, -21
-13, -16, 35
-36, -21, 252
-27, -28, 21
-250, -27, -33
-21, -32, -216
2, -8, -17
-21, 18, -112
-6, -19, -21
-8, -42, 18
-17, -29, 7
12, -57, 245
0, -21, -184
-4, -69, 59
-22, 5, 1703
-42, 38, 2258
-60, -1, 3313
-22, -167, 3657
-73, 228, 5590
-109, 63, 7569
-91, 27, 8452
-81, -514, 8910
-62, -1472, 11019
-97, -102, 12134
-71, -522, 12379
31, 290, 12946
-32, 763, 13236
-41, -70, 13536
19, -488, 12364
18, -83, 10284
11, 79, 9726
48, -12, 8983
44, -59, 8788
81, -76, 10459
8, 36, 11709
19, 58, 13547
69, 35, 14750
50, 217, 16866
61, 129, 16234
0, 240, 14772
69, 65, 15647
19, 126, 16088
67, 527, 15806
40, 30, 16523
-62, 1418, 16322
-1141, 803, 15532
-267, -298, 16690
-203, 105, 17415
-220, 218, 16330
-178, 139, 15635
-234, 182, 16984
-158, 221, 17032
-258, 172, 18277
-225, 115, 18493
-188, 234, 16971
-172, 87, 14866
-194, 106, 13004
-170, 121, 12129
-184, 137, 10876
-133, 103, 7912
-109, 72, 8381
-145, 65, 10642
-130, 146, 10887
-113, 100, 9206
-113, 56, 7941
-79, 88, 7395
-70, 28, 4805
-64, 18, 4690
-38, -12, 4503
-25, -14, 3842
-52, 17, 1915
-67, 12, 1715
-54, 2, 1488
-24, -6, 169
35, -34, 12
7, -17, -21
-242, -11, -5
-9, -2, 16
-9, -6, 2
-38, -8, -5
9, -49, -17
-14, 3, -25
6, -20, -20
-37, 1, -256
-33, -247, 4
-28, -30, 17
-5, -11, 4
-4, -46, -1
-25, -10, 30
-33, 6, -4
13, 15, 17
-10, -5, 2
-4, -13, -3
-31, -14, 29
-12, -37, 4
0, 210, 14
-11, -14, -29
-6, -45, -312
-10, -20, -1143
-17, -43, -2107
16, -12, -2860
34, -39, -5543
107, -87, -7440
110, -151, -9802
118, -100, -12224
172, -120, -13994
48, 35, -14321
189, -200, -14807
205, -208, -14370
233, -276, -15548
180, -249, -15125
146, -213, -15183
179, -441, -16823
179, -212, -16964
154, -201, -15293
130, -130, -12093
136, -159, -13003
101, -127, -13632
129, -163, -13735
177, -174, -14094
180, -125, -15277
184, -182, -16828
168, -257, -18129
277, -261, -21152
9, -290, -23992
277, -302, -25452
247, -268, -23894
285, -301, -23315
213, -249, -21659
220, -146, -18903
162, -244, -17668
202, -242, -15904
157, -176, -15215
213, -374, -14794
165, -308, -14375
115, -255, -14340
139, -197, -13559
108, -113, -12169
126, -157, -11230
96, -130, -9448
94, -159, -9149
53, -92, -7614
86, -69, -7634
52, -132, -7433
18, -79, -5922
46, -62, -5924
35, -81, -4123
27, -179, -2371
4, -171, -1786
21, -501, -371
10, -16, 32
-13, -1123, 140
-42, -399, 748
8, 454, 991
-122, 3488, 2694
-48, -819, 69
220, -533, 27
-23, -46, 238
-4, -36, 21
1, -9, 16
-14, -20, -242
-40, 13, 28
-17, -34, -11
-235, -20, 3
-27, -30, 3
-21, -2, -8
-12, -3, 6
-29, 4, -244
-32, -25, 39
-252, -32, -25
-8, 20, 2
-24, -17, -1
-16, -27, 6
-19, -24, -4
-12, 238, 7
-252, -27, 20
14, -21, -17
-18, -6, 8
-12, 12, 49
-18, -20, 0
14, -40, 3
-14, -10, 20
-20, -16, 4
-24, -71, -12
-3, -17, -7
-3, -24, 23
-24, -36, 0
-2, -53, 14
-9, -13, -10
-6, -17, 9
4, -11, -249
-16, -29, 8
-12, -21, -6
-11, -12, -4
-36, -16, -3
-7, -31, -3
-14, -28, 12
-4, -48, -226
-28, -31, 7
-31, -12, 0
-4, -33, 28
-13, -5, 230
-5, -239, -11
-8, -10, 15
-8, -41, 41
-29, -36, 27
-26, -17, -6
-42, 0, 8
-5, -16, 5
26, -44, -18
-23, -22, 9
-17, -44, 14
-16, 14, -2
15, -29, 13
-24, -29, 25
-15, -42, 11
-35, -24, 2
-10, -26, 5
-4, -29, -249
5, -20, -6
-25, -1, 25
-33, -65, 15
-22, -45, 23
-43, -18, 24
-21, -17, 25
-32, -32, 22
-7, -27, -20
-30, -39, 16
-5, 10, 11
-26, -10, -235
-23, -24, 9
-13, -47, 15
3, -16, -245
-29, -7, 15
-20, -27, 6
-4, -40, -10
-37, 10, 2
-6, -4, -2
-33, -17, 7
-5, 15, 248
-12, 0, -5
-250, -61, 11
-16, 10, -13
1, -23, 12
-8, -53, 10
-3, -32, 2
-13, 6, -1
-12, -22, 28
-10, -15, 19
-26, -6, -4
-16, 23, -14
